,edit_history_tweet_ids,id,text,lang
0,['1652064539507294208'],1652064539507294208,"samantharuthprabhuhot samantha samanthahot samantharuthprabhu𓃵 pepsixsamantha pepsi📷 armpitslover armpitaddict armpitsweat thighs legs
happybirthdaysamantha hbdsamantha

brindavanam samanta is my favorite🤩

smooth n sexy back 
i want to pin that skin with my teeth ",en
1,['1652064534818099200'],1652064534818099200,"samantharuthprabhuhot samantha samanthahot samantharuthprabhu𓃵 pepsixsamantha pepsi📷 armpitslover armpitaddict armpitsweat thighs legs
happybirthdaysamantha hbdsamantha

brindavanam samanta is my favorite🤩

eyes ahh killing me 💘💘💘💘

choopulto champestundi ",en
3,['1652064400021356545'],1652064400021356545,lovemesome1980s freebyrd316 nicomartelle hemanismyhero stradlemonkey motudrawing brokenbridgegxb mark_lapping sinjun45 captainbacon61 addictedhe the_tyebox hemanfan1 brooksidefilms tentaclause gillster37 aliciamariebody lizhobbs1974 smax140adams cimerians michaelodomart jfdm76 wheeljack83 deanetts seitayokokawa kevhulk73 battleramblog tylerslam dccomics mattel mastersofficial kimberlandart pepsi neca_toys hulkhogan konami metallica outbacksteakaus arcade_1up oreo pandaexpress pizzahut codyrhodes battle cat was mine after he replaced my horse clip clop.  you could also say my power sword(s) since my dad made me a few wooden ones after one of the plastic ones broke. ,en
5,['1652063698071212032'],1652063698071212032,"samantharuthprabhuhot samantha samanthahot samantharuthprabhu𓃵 pepsixsamantha pepsi📷 armpitslover armpitaddict armpitsweat thighs legs
happybirthdaysamantha hbdsamantha 

brindavanam samanta is my favorite🤩 ",en
6,['1652063694090809346'],1652063694090809346,"samantharuthprabhuhot samantha samanthahot samantharuthprabhu𓃵 pepsixsamantha pepsi📷 armpitslover armpitaddict armpitsweat thighs legs
happybirthdaysamantha hbdsamantha

brindavanam samanta is my favorite🤩

smooth and sexy legs ahh.. this movie got her fans. ",en
7,['1652063689862959104'],1652063689862959104,"samantharuthprabhuhot samantha samanthahot samantharuthprabhu𓃵 pepsixsamantha pepsi📷 armpitslover armpitaddict armpitsweat thighs legs
happybirthdaysamantha hbdsamantha

brindavanam samanta is my favorite🤩

smooth and sexy legs ahh.. this movie got her fans. ",en
10,['1652059343062171649'],1652059343062171649,"pepsi makes you poop… hard 
-my child",en
11,['1652058734649135104'],1652058734649135104,pepsico pepsi this publicity and pr should have been reserved for the '26 world cup.... this is beautiful! let me be part of your pr 😊,en
12,['1652058093340217344'],1652058093340217344,rt masonmounteng: 😎 our model became an ambassador for pepsi last month 👌. he's so classy 💛✨ ,en
14,['1652056001242095617'],1652056001242095617,"to coke pepsi mcdonalds drpepper sprite wendys burgerking and other major chains.. if prices don't level off, your existence shall cease to exist!! ppl getting tired of being tired...",en
