,edit_history_tweet_ids,id,text
0,['1623430301547651072'],1623430301547651072,the mcdonalds app isn’t working! this is terrible customer service!! will not go again! mcdonalds
1,['1623430217132908545'],1623430217132908545,hey mcdonalds apparently this is a medium soda? good grief! not even a smalls worth in my cup 😡 irritated 
2,['1623430154574872577'],1623430154574872577,eating big macs at mcdonalds 
3,['1623429926559817730'],1623429926559817730,mcdonalds 🍔🍟 
4,['1623429905781506048'],1623429905781506048,fix your app jesus christ mcdonalds
5,['1623429830967726080'],1623429830967726080,mcdonalds 
6,['1623429660230000647'],1623429660230000647,jenhernandez mcdonalds no question…those ldcs are necessary
7,['1623429612851310592'],1623429612851310592,"rt cb6184444: so if mcdonalds employees sign a non-compete agreement (gtfoh) i’m asking, did treasonous liberal politicians sign one with…"
8,['1623429517573337090'],1623429517573337090,ldburnett mcdonalds did you make the mistake of leaving the pickup window? never let them park you.
9,['1623429335893041152'],1623429335893041152,shanback801 mcdonalds that’s hella sick bro.
10,['1623429330943770624'],1623429330943770624,mcdonalds what is wrong with your mobile app? i’m not trying to cater a big party! i just want lunch for myself!
11,['1623429147744694274'],1623429147744694274,grimace mcdonalds whackadoods 
12,['1623429122406903810'],1623429122406903810,saycheesedgtl the price of eggs explained in a nutshell iamcardib llcoolj wildwayne mcdonalds liltunechi cashmoney cisehd youngmoney therealmiax margaretorr a_kamara6 camjordan94 reginae_carter1 manniefresh ygdtopdogg finallevel 
13,['1623429080660992002'],1623429080660992002,cyrilhanouna prouve nous que t’as le bras long et contact mcdonalds pour qu’il mette un putain de cheddar en entier dans nos filet au fish. merci d’avance.  tpmp
14,['1623428902763757568'],1623428902763757568,mcdonalds fix your shitty app
15,['1623428893167296512'],1623428893167296512,kfc  picked up the bag that mcdonalds fumbled!! 
16,['1623428836380516352'],1623428836380516352,mcdonalds  hello?? can you fix your app please! i’m been trying to order lunch for 15 mins now !!!!!
17,['1623428795008176128'],1623428795008176128,roxannehoge joebiden mcdonalds rweingarten cdcdirector insurrectionist!
18,['1623428732479279106'],1623428732479279106,mcdonalds please use fish oil
19,['1623428725642608642'],1623428725642608642,mcdonalds katatatat__ mcdonald’s really responded 👀
20,['1623428494486130689'],1623428494486130689,"dawnb450 mcdonalds 
unknowingcannibals 
cabalfalls"
21,['1623428375292399618'],1623428375292399618,the internet is disturbed by a diy mcdonald's casserole - mashed mcdonalds fastfood 
22,['1623428349967142912'],1623428349967142912,mcdonald’s big mac sauce now available in dip cups in canada - chew boom mcdonalds fastfood 
23,['1623428292304048131'],1623428292304048131,joshuawallack wellseasoned333 ninaturner mcdonalds i haven't seen a dollar menu in over a decade.
24,['1623428229796339712'],1623428229796339712,mcdonalds pls deliver to the kommish? 
25,['1623428025969958913'],1623428025969958913,"“deepskin -- a cut that removes the pinbone and the fat line -- is used by the seafood industry's most valuable customers, including for mcdonalds for its filet-o-fish sandwiches.” "
26,['1623427774064082945'],1623427774064082945,"rt pesindeyizapp: ❗️ yemek desteği̇ ❗️

i̇skenderun, gaziantep ve malatya'da bulunan mcdonalds ücretsiz yemek vereceğini açıkladı.

deprem…"
27,['1623427377165369344'],1623427377165369344,iamalyxander repmtg mcdonalds don’t forget letting kfc get rid of popcorn chicken!! 
28,['1623427261624901632'],1623427261624901632,in the middle of the woods - 2023 - a film of erikblanc. sub english   via youtube hogwartslegacy eintracht_eng eizamusica younetflix horrornewsnet screammovies jennaortega burgerking mcdonalds ahsfx ambermidthunder actor_amritha ukraine
29,['1623427196885893121'],1623427196885893121,"travisdunna joshuawallack wellseasoned333 ninaturner mcdonalds yes because you want to keep as much money as possible. in capitalism, capital owners decide what happens to the means of production, causing profits and growth to go only to owners. that’s not ethical you fucking psychopath. workers will rise and take back the means if necessary"
30,['1623426983408312320'],1623426983408312320,i want to be happy i really do but unfortunately i don’t think that can happen until mcdonalds brings back snack wraps
31,['1623426898750734336'],1623426898750734336,"so mcdonalds system is down but you have an ad for any size coffee or iced for 99 cents that i can't use the deal because ""your"" app system is down! cut the ad then"
32,['1623426754584141824'],1623426754584141824,"mcdonalds, i want snack wraps 😗"
33,['1623426354111815683'],1623426354111815683,"travisdunna joshuawallack wellseasoned333 ninaturner mcdonalds as another individual that invests, that happens very rarely. if you think companies exist make workers lives more comfortable, and not to be as profitable as humanly profitable for shareholders, you’re not paying attention. yes, they expand, but only to enrich themselves."
34,['1623426332234248199'],1623426332234248199,"joshuawallack wellseasoned333 ninaturner mcdonalds they're already doing that, the minimum wage is $7.25.. you all give billionaires a free pass to make as much money as  possible and then scoff at workers living in poverty.. maybe there should be a standard for how much ceos can make relative to their employees 🤷"
35,['1623426245630300162'],1623426245630300162,"officejjsmart iocmedia visa cocacola mcdonalds samsungus proctergamble olympics 
agree. no place for ruzzian &amp; belarusian athletes at the olympics
boycottolympics
boycottparis2024
boycottolympics2024
iocsucks
banrussiafromolympicgames 
banrussianathletes 
russiaisaterroiststate"
36,['1623426142530072577'],1623426142530072577,mcdonalds no reply?? poor customer service… 
37,['1623426008463429633'],1623426008463429633,joshuawallack wellseasoned333 ninaturner mcdonalds what's the dollar menu? it hasn't existed in years in cleveland.
38,['1623425937311162370'],1623425937311162370,mcdonalds imagine that. the app doesn't work. how convenient! yes o reinstalled it. still nothing.
39,['1623425846852849664'],1623425846852849664,fix your app mcdonalds 
40,['1623425703038386180'],1623425703038386180,mcdonalds help türki̇ye 🇹🇷 🙏🏻🙏🏻🙏🏻
41,['1623425644754268160'],1623425644754268160,worthless. mcdonalds it took me 60 seconds to order at the register but 5 minutes using a touch screen. college degree failure again on this idea. fast food. in and out. assholes
42,['1623425604807794693'],1623425604807794693,"mom rarely enjoys going to the doctor. (see before pic.)

mcdonalds fries (unsalted) &amp; a strawberry shake filled this 82 yr old with jokes. 

the treats = a ride home with stories. 

moments like this are so wonderful to have. 💕 family caregiver motherdaughter "
43,['1623425322824916992'],1623425322824916992,haydengalactic joshuawallack wellseasoned333 ninaturner mcdonalds and as an individual that invests. when companies issue stocks and people buy it that money is used to hire employees and expand the business. why don't you learn economics 101
44,['1623425213601026048'],1623425213601026048,"haydengalactic joshuawallack wellseasoned333 ninaturner mcdonalds 😂 as a business owner i would switch over to ai and automation just so simply i wouldn't have to deal with lazy unmotivated workers. who constantly call out sick all the time

"
45,['1623424791096033281'],1623424791096033281,dramatweetbrad kfc mcdonalds the day mcdonalds brings back the snack wraps it’s over 💅
46,['1623424770913050639'],1623424770913050639,mcdonalds fables4fortune still doesn't work.
47,['1623424707339907074'],1623424707339907074,"en 100 años más...

¿creéis que mcdonalds seguirá siendo el líder del sector de comida rápida con las hamburguesas?

la de competencia que le está saliendo con un mejor producto es abismal....

el bigmac quedó obsoleto 😂 "
48,['1623424440427061248'],1623424440427061248,i really want the chicken selects to come back!!! cc: mcdonalds
49,['1623424357430091782'],1623424357430091782,"joshuawallack wellseasoned333 ninaturner mcdonalds yes, they can still be profitable joshua. they only use automation because they’re greedy and want to retain as many profits as possible. not so they can let this profits “trickle down.” it’s for shareholders and executive salaries. stop enabling greed"
50,['1623424076403339265'],1623424076403339265,"wellseasoned333 ninaturner if they have the same workers at $25, do you think mcdonalds can still sell hamburgers on a dollar menu and be profitable? that’s the problem! they’ll keep reducing headcount and using automation to have less people working and more profitable stores."
51,['1623423910221062145'],1623423910221062145,"trillslaysall jasonthecrybaby dailyloud all those things are available at mcdonalds also, they definitely have water... i know that much."
52,['1623423249404030978'],1623423249404030978,ldburnett mcdonalds have you at least placed your order??
