,text,positive,negative,neutral,result
0,pepsi  jetblue  zeroisnowboarding sweepstakes ,,,,
1,rt alcaldenetito: pepsi si me representa 😉 ,,,,
2,rt terra_cremada: pepsi ,,,,
3,emanuele catalano likes tutti in riga per il colonnello! pepsi kfc  ,,,,
5,pepsi si me representa 😉 ,,,,
6,jetblue pepsi zeroisnowbourdingsweepstakes. pepsi jetblue .    this would be a awesome prise,,,,
7,rt angryladki: बॉयकॉट करो इनका जो विदेशी कम्पनियों को कुछ नही कहते और स्वदेशी पर सवाल उठाते पेप्सी कोला हिंदुस्तान लीवर जैसी कंपनियों को क…,,,,
8,pepsi ,,,,
9,jetblue pepsi zeroisnowboarding sweepstakes and tag pepsi and jetblue for your chance to win.,,,,
10,"rt shygal_lilly: pepsi throwback is back!

i love pepsi throwback so much, it's the 80s pepsi recipe! ",,,,
12,"pepsi throwback is back!

i love pepsi throwback so much, it's the 80s pepsi recipe! ",,,,
13,"rt jannyloveg: pepsibr love ❤️ pepsi .
love ❤️‍🔥 messi𓃵  !!! 🤘",,,,
14,jetblue pepsi love this!! zeroisnowboarding sweepstakes pepsi jetblue,,,,
15,"rt templatemonster: have you seen the new pepsi logodesign?
the design work was said to have cost $1 million
and how much would you char…",,,,
16,twazolla raidernighthawk fweedomfightaw peepsbrand pepsi comanchecarl1 juicysharts kevinfi88510998 sfldragon booboovicious shlimpickens2 i still have nightmares!,,,,
17,"ramen_reigns pepsico pepsi thank you, ramen_reigns.  i hope that you had a great weekend and i hope you're having a wonderful day.  stay safe, buddy.",,,,
18,stuartgreen2018 pepsico pepsi good luck man.,,,,
19,"ramen_reigns pepsico pepsi also, ramen_reigns, there's no reason for companies like pepsi and coke to not have caffeine free products available everywhere for customers to buy.  a lot of my friends who can't drink caffeine miss these sodas, so i'm doing this for them.  it's our ""battle"", not mine. (2/2)",,,,
20,"ramen_reigns pepsico pepsi whenever i try to, it's usually listed from some third-party seller or ridiculously overpriced like $20 for a $12 pack and money's tight enough as it is.  whenever i try to get it on amazon, it says ""out of stock. we don't know when or if this item will be back in stock."" (1/2)",,,,
21,pepsi jetblue this would be awesome. zeroisnowboarding sweepstakes pepsi  jetblue,,,,
22,stuartgreen2018 pepsico pepsi pick your battles my dude. just order it from amazon. manage your energy!,,,,
23,"rt jannyloveg: pepsibr obrigado ✨ por curtir❤️‍🔥 !
meu refri favorito 🔥.
pepsi .",,,,
24,"pepsi jetblue jetblue pepsi zeroisnowboarding sweepstakes 

in desperate need of an escape!! ✈️ ",,,,
25,"rt cxk_thailand: 230410 百事中国 weibo update

สแกน qr code เพื่อเข้าสู่ pepsi metaverse สร้าง “ความกระหาย” ที่คุณสามารถทำได้ด้วยกัน กับโฆษกเ…",,,,
